latitude,longitude,latitude
46.33976,-93.26205,46.33976
46.97836,-93.27369,46.97836
47.84037,-93.48518,47.84037
48.20715,-94.55401,48.20715
46.04313,-96.49418,46.04313
46.40366,-95.60213,46.40366
48.43646,-95.73119,48.43646
48.97085,-97.2017,48.97085
47.29594,-96.73165,47.29594
44.93617,-96.4418,44.93617
47.86831,-96.91684,47.86831
47.37123,-94.47964,47.37123
46.87745,-96.11144,46.87745
46.41334,-95.05439,46.41334
45.76654,-94.23284,45.76654
43.51495,-91.88499,43.51495
47.21127,-92.48769,47.21127
48.29424,-92.97047,48.29424
47.77035,-96.00102,47.77035
44.28482,-91.98967,44.28482
44.08369,-95.11995,44.08369
44.15434,-94.03397,44.15434
44.36554,-93.96315,44.36554
44.57227,-93.8427,44.57227
45.87584,-93.66408,45.87584
45.98504,-92.94818,45.98504
48.78936,-95.05103,48.78936
44.54364,-93.62482,44.54364
43.90234,-92.4823,43.90234
43.35,-72.2,43.35
44.8744,-71.4106,44.8744
43.21,-71.52,43.21
34.43,-119.85,34.43
44.6,-124.06,44.6
42.57,-72.29,42.57
42.09,-77.21,42.09
41.91,-70.73,41.91
41.3489,-73.0694,41.3489
44.9833,-70.6667,44.9833
46.71665,-92.25142,46.71665
46.77181,-92.11499,46.77181
47.09438,-91.55177,47.09438
44.79849,-93.29016,44.79849
45.09621,-93.45002,45.09621
45.03843,-93.06251,45.03843
44.87517,-93.07298,44.87517
47.44509,-92.88758,47.44509
43.94569,-93.26788,43.94569
47.06749,-91.59307,47.06749
46.74854,-92.09998,46.74854
46.73409,-92.09713,46.73409
44.2689,-71.6311,44.2689
44.9167,-69.2667,44.9167
41.85,-71.73,41.85
43.35,-70.4667,43.35
43.4833,-71.1833,43.4833
43.7833,-71.65,43.7833
42.5678,-73.0028,42.5678
39.87,-105.297,39.87
39.639,-104.769,39.639
39.754,-105.016,39.754
39.245,-104.589,39.245
39.993,-104.817,39.993
39.681,-105.496,39.681
39.672,-105.347,39.672
39.562,-105.019,39.562
39.499,-104.776,39.499
39.376,-104.846,39.376
40.035,-105.541,40.035
40.018,-105.404,40.018
39.992,-105.153,39.992
40.148,-105.39,40.148
40.221,-105.369,40.221
39.768,-104.869,39.768
43.50833,-93.35406,43.50833
44.4785,-93.29243,44.4785
45.64292,-92.99275,45.64292
46.21257,-92.83856,46.21257
43.60832,-96.37794,43.60832
43.63734,-95.76991,43.63734
43.63869,-95.11854,43.63869
43.66305,-94.12244,43.66305
43.72716,-92.68137,43.72716
43.95564,-92.20515,43.95564
43.91192,-91.54358,43.91192
46.84679,-96.66814,46.84679
46.49066,-96.29125,46.49066
45.83765,-95.36622,45.83765
45.39469,-94.02561,45.39469
47.87431,-94.43243,47.87431
47.8544,-92.04811,47.8544
46.68822,-93.95449,46.68822
44.94926,-95.40952,44.94926
44.90608,-93.98643,44.90608
48.57236,-96.91488,48.57236
48.81951,-95.96101,48.81951
48.62768,-94.06709,48.62768
48.60179,-93.37344,48.60179
44.27026,-96.32004,44.27026
44.45889,-96.43523,44.45889
44.54471,-94.99542,44.54471
44.54319,-94.41412,44.54319
44.69162,-95.61401,44.69162
45.61643,-94.02149,45.61643
45.55822,-96.49392,45.55822
44.05717,-95.5973,44.05717
43.71933,-91.43675,43.71933
47.60357,-94.12675,47.60357
44.40925,-92.85847,44.40925
47.27417,-95.93363,47.27417
44.07556,-94.36825,44.07556
44.60102,-92.69779,44.60102
47.97642,-89.68497,47.97642
46.91173,-94.72292,46.91173
46.33976,-93.26205,46.33976
46.97836,-93.27369,46.97836
47.84037,-93.48518,47.84037
48.20715,-94.55401,48.20715
46.04313,-96.49418,46.04313
46.40366,-95.60213,46.40366
48.43646,-95.73119,48.43646
48.97085,-97.2017,48.97085
47.29594,-96.73165,47.29594
44.93617,-96.4418,44.93617
47.86831,-96.91684,47.86831
47.37123,-94.47964,47.37123
46.87745,-96.11144,46.87745
46.41334,-95.05439,46.41334
45.76654,-94.23284,45.76654
43.51495,-91.88499,43.51495
47.21127,-92.48769,47.21127
48.29424,-92.97047,48.29424
47.77035,-96.00102,47.77035
44.28482,-91.98967,44.28482
44.08369,-95.11995,44.08369
44.15434,-94.03397,44.15434
44.36554,-93.96315,44.36554
44.57227,-93.8427,44.57227
45.87584,-93.66408,45.87584
45.98504,-92.94818,45.98504
48.78936,-95.05103,48.78936
44.54364,-93.62482,44.54364
43.90234,-92.4823,43.90234
43.4419,-71.5889,43.4419
46.7,-69.7167,46.7
41.95,-70.95,41.95
44.8647,-72.8089,44.8647
44.9333,-72.2,44.9333
44.6333,-68.85,44.6333
46.71665,-92.25142,46.71665
46.77181,-92.11499,46.77181
47.09438,-91.55177,47.09438
44.79849,-93.29016,44.79849
45.09621,-93.45002,45.09621
45.03843,-93.06251,45.03843
47.44509,-92.88758,47.44509
43.94569,-93.26788,43.94569
47.06749,-91.59307,47.06749
46.74854,-92.09998,46.74854
46.73409,-92.09713,46.73409
39.19,-84.21,39.19
32.77,-117.05,32.77
46.3,-63.1,46.3
32.58,-97.35,32.58
29.749,-95.581,29.749
44.805,-71.871,44.805
45.338,-123.096,45.338
28.2,-80.6,28.2
29.44,-95.1,29.44
31.31,-92.44,31.31
30.74,-88.26,30.74
35.13,-111.67,35.13
33.565464,-112.05364,33.565464
43.8,-75.47,43.8
33.58,-86.05,33.58
36.15,-86.35,36.15
33.89,-118.13,33.89
32.64,-117.083,32.64
34.2369,-117.2872,34.2369
38.665,-121.165,38.665
38.62,-122.87,38.62
32.827286,-116.92719,32.827286
34.69,-118.18,34.69
39.34,-121.08,39.34
38.54231,-121.3695,38.54231
35.26,-120.71,35.26
37.06,-121.61,37.06
37.98,-122.52,37.98
35.19,-118.6,35.19
33.922,-118.055,33.922
40.09,-105.34,40.09
38.3,-104.57,38.3
39.64,-106.09,39.64
41.70038,-72.02061,41.70038
38.37,-122.82,38.37
28.484,-80.803,28.484
28.79,-81.34,28.79
26.13,-80.12,26.13
27.8,-80.48,27.8
34.04,-83.83,34.04
34.0,-84.0,34.0
34.14611,-84.10694,34.14611
34.05,-84.52,34.05
40.75,-95.64,40.75
