latitude,longitude,latitude
39.65,-79.92,39.65
39.59,-84.23,39.59
42.93,-71.43,42.93
35.6,-88.92,35.6
28.1,-80.65,28.1
39.22,-104.63,39.22
37.63,-120.95,37.63
37.63,-120.95,37.63
34.75,-87.62,34.75
44.93,-74.85,44.93
41.4,-70.62,41.4
32.82,-117.13,32.82
39.1,-121.57,39.1
37.73,-122.22,37.73
33.47,-80.85,33.47
38.85,-94.73,38.85
48.47,-119.51,48.47
40.08,-83.07,40.08
41.1,-92.45,41.1
39.49,-121.62,39.49
42.18,-71.18,42.18
38.3,-75.12,38.3
34.18,-91.93,34.18
33.88,-84.3,33.88
30.22,-85.68,30.22
39.35,-81.43,39.35
34.63,-118.08,34.63
36.73,-97.1,36.73
30.47,-87.18,30.47
41.63,-73.88,41.63
35.67,-120.63,35.67
34.65,-112.42,34.65
33.83,-116.5,33.83
33.95,-117.45,33.95
40.5,-122.3,40.5
35.25,-93.1,35.25
36.03,-95.98,36.03
35.85,-77.9,35.85
38.52,-121.5,38.52
35.62,-106.08,35.62
38.15,-89.7,38.15
34.43,-119.83,34.43
33.62,-111.92,33.62
40.83,-76.87,40.83
28.78,-81.23,28.78
37.37,-121.93,37.37
38.8,-97.65,38.8
38.7,-121.58,38.7
40.62,-74.67,40.62
33.68,-117.87,33.68
36.67,-121.6,36.67
31.15,-81.38,31.15
39.77,-94.92,39.77
44.95,-93.07,44.95
38.52,-122.82,38.52
35.18,-103.6,35.18
33.22,-87.62,33.22
39.92,-76.87,39.92
31.87,-86.02,31.87
40.28,-74.82,40.28
44.73,-85.58,44.73
38.9,-120.0,38.9
32.35,-91.03,32.35
45.25,-122.76,45.25
41.54,-71.28,41.54
36.2,-115.18,36.2
38.13,-91.77,38.13
30.78,-83.28,30.78
34.17,-84.8,34.17
41.35,-71.8,41.35
36.94,-121.79,36.94
36.28,-94.3,36.28
36.13,-86.68,36.13
24.55,-81.75,24.55
35.22,-75.62,35.22
41.88,-91.72,41.88
37.78,-81.12,37.78
47.65,-101.43,47.65
41.6,-83.8,41.6
32.62,-116.47,32.62
38.37,-110.72,38.37
37.45,-105.87,37.45
43.8,-99.32,43.8
39.28,-120.72,39.28
33.98,-98.5,33.98
42.87,-100.55,42.87
32.42,-99.68,32.42
34.75,-118.72,34.75
46.15,-115.6,46.15
33.13,-117.28,33.13
32.27,-107.72,32.27
38.33,-96.18,38.33
42.58,-116.15,42.58
37.62,-109.47,37.62
40.08,-95.6,40.08
39.38,-99.83,39.38
35.83,-90.65,35.83
34.73,-92.23,34.73
32.3,-86.4,32.3
34.65,-86.77,34.65
36.75,-108.23,36.75
43.13,-89.35,43.13
29.18,-81.05,29.18
30.05,-102.21,30.05
35.03,-85.2,35.03
43.58,-118.95,43.58
39.28,-114.85,39.28
40.82,-82.52,40.82
47.95,-124.55,47.95
34.53,-93.57,34.53
32.73,-117.17,32.73
21.32,-158.07,21.32
61.6,-149.08,61.6
71.3,-156.78,71.3
60.5,-145.5,60.5
66.08,-162.75,66.08
64.78,-141.14,64.78
60.57,-151.25,60.57
62.15,-145.45,62.15
59.47,-135.3,59.47
59.75,-154.92,59.75
55.35,-131.7,55.35
64.33,-158.71,64.33
55.58,-133.08,55.58
61.18,-148.03,61.18
61.22,-149.85,61.22
56.58,-169.64,56.58
70.2,-148.47,70.2
57.07,-135.35,57.07
59.45,-151.69,59.45
60.79,-148.83,60.79
67.74,-164.53,67.74
60.12,-149.45,60.12
70.62,-159.85,70.62
48.22,-106.62,48.22
46.92,-114.08,46.92
45.68,-118.85,45.68
42.37,-122.87,42.37
39.07,-95.62,39.07
42.92,-112.57,42.92
41.87,-83.93,41.87
31.33,-92.55,31.33
32.98,-97.32,32.98
40.35,-79.93,40.35
42.05,-102.8,42.05
40.17,-103.22,40.17
27.73,-98.03,27.73
46.1,-118.28,46.1
40.71,-84.02,40.71
39.57,-104.85,39.57
26.15,-81.77,26.15
34.4,-96.15,34.4
30.03,-91.88,30.03
42.22,-83.75,42.22
41.77,-88.47,41.77
30.33,-89.82,30.33
39.22,-106.87,39.22
46.55,-90.92,46.55
44.9,-97.15,44.9
30.19,-97.67,30.19
45.87,-95.4,45.87
42.23,-85.55,42.23
41.43,-99.65,41.43
37.7,-112.15,37.7
48.73,-94.62,48.73
42.13,-86.43,42.13
47.53,-122.3,47.53
30.63,-88.07,30.63
46.35,-104.25,46.35
42.75,-86.1,42.75
40.88,-81.88,40.88
44.83,-117.82,44.83
41.52,-81.68,41.52
28.47,-82.45,28.47
48.8,-122.53,48.8
30.74,-98.23,30.74
42.05,-93.85,42.05
42.57,-110.1,42.57
29.95,-94.02,29.95
40.78,-91.13,40.78
42.3,-85.25,42.3
45.95,-112.5,45.95
36.05,-79.48,36.05
21.35,-157.93,21.35
19.72,-155.07,19.72
19.65,-156.0,19.65
21.98,-159.35,21.98
60.78,-161.8,60.78
66.92,-151.52,66.92
55.2,-162.73,55.2
57.75,-152.5,57.75
64.82,-147.87,64.82
59.65,-151.48,59.65
58.37,-134.58,58.37
62.97,-155.62,62.97
61.17,-150.02,61.17
64.55,-149.08,64.55
55.03,-131.57,55.03
64.52,-165.45,64.52
62.97,-141.93,62.97
66.88,-162.6,66.88
70.22,-149.02,70.22
57.15,-170.22,57.15
62.3,-150.1,62.3
59.52,-139.67,59.52
42.83,-103.1,42.83
40.77,-73.98,40.77
